Metric,node2vec_acc,wl,nw,es,ws,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
pubmed_prdjcuwj_struc2vec,0.7648916967509025,30,5,16,7,0.0036,0.0199,0.0564,0.3263,0.0269,0.0036,0.0199,0.0564,0.3263,0.8313,0.818
pubmed_vqvamnmw_struc2vec,0.7651173285198556,20,20,16,7,0.005,0.0284,0.0587,0.3452,0.0321,0.005,0.0284,0.0587,0.3452,0.8399,0.8285
pubmed_rz2ri9yr_struc2vec,0.7285649819494585,30,15,8,7,0.0032,0.0266,0.0537,0.3046,0.0254,0.0032,0.0266,0.0537,0.3046,0.8167,0.7979
pubmed_4y5y8bl0_struc2vec,0.7229241877256317,10,10,32,7,0.009,0.0235,0.0835,0.3069,0.0332,0.009,0.0235,0.0835,0.3069,0.8122,0.7998
pubmed_iu1syyqz_struc2vec,0.7195397111913358,30,20,4,5,0.0059,0.0126,0.0307,0.2676,0.02,0.0059,0.0126,0.0307,0.2676,0.7652,0.7655
pubmed_y7hf5btg_struc2vec,0.6863718411552346,30,5,8,5,0.009,0.0375,0.0623,0.2459,0.0342,0.009,0.0375,0.0623,0.2459,0.7435,0.7514
pubmed_pnop4z7l_struc2vec,0.7504512635379061,30,18,18,8,0.0158,0.0171,0.0546,0.2902,0.0334,0.0158,0.0171,0.0546,0.2902,0.8358,0.8171
pubmed_c2amwa4c_struc2vec,0.743456678700361,25,22,18,6,0.0059,0.0203,0.0794,0.3362,0.034,0.0059,0.0203,0.0794,0.3362,0.8077,0.8158
pubmed_zsmerdb3_struc2vec,0.7493231046931408,25,20,16,6,0.0063,0.0171,0.0496,0.3547,0.0293,0.0063,0.0171,0.0496,0.3547,0.8127,0.8167
pubmed_z1zj134f_struc2vec,0.7520306859205776,20,22,20,9,0.0343,0.0433,0.0889,0.389,0.056,0.0343,0.0433,0.0889,0.389,0.8197,0.8292
pubmed_nlhi4lec_struc2vec,0.6847924187725631,20,18,16,9,0.0077,0.0131,0.0402,0.278,0.0249,0.0077,0.0131,0.0402,0.278,0.7356,0.7566
pubmed_y7kdhqwr_struc2vec,0.7716606498194946,20,18,16,8,0.0059,0.0185,0.0573,0.4296,0.0327,0.0059,0.0185,0.0573,0.4296,0.8021,0.8255
