
Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,epochs
cora_rungnowcah0_GAE,37.45,66.61,90.59,94.28,98.15,98.71,53.27,37.45,66.61,90.59,94.28,98.15,98.71,98.93,98.99,84.69,0.1,1024,32,32,10000
cora_rune8e2yevy_GAE,26.94,73.62,89.48,95.94,97.23,98.71,53.27,26.94,73.62,89.48,95.94,97.23,98.71,98.88,99.0,92.44,0.1,1024,32,64,10000
cora_runajt7zq96_GAE,38.01,82.47,95.2,95.76,97.42,98.71,53.27,38.01,82.47,95.2,95.76,97.42,98.71,98.88,99.0,92.44,0.1,1024,32,128,10000
cora_runsx4illel_GAE,40.59,82.47,94.83,96.31,98.15,98.71,50.21,40.59,82.47,94.83,96.31,98.15,98.71,99.02,99.2,92.44,0.1,1024,32,256,10000
cora_runtrr1tyug_GAE,40.59,82.47,94.83,96.31,98.15,98.71,50.21,40.59,82.47,94.83,96.31,98.15,98.71,99.02,99.2,92.44,0.1,1024,64,32,10000
cora_runx7pkopu6_GAE,40.59,87.27,94.83,96.31,97.6,98.71,50.21,40.59,87.27,94.83,96.31,97.6,98.71,99.02,99.1,92.44,0.1,1024,64,64,10000
cora_rund31p31pw_GAE,47.97,87.27,95.2,96.49,97.6,98.71,64.5,47.97,87.27,95.2,96.49,97.6,98.71,99.16,99.22,92.44,0.1,1024,64,128,10000
cora_runq0lf85mf_GAE,47.97,87.27,95.94,96.49,97.97,98.71,64.5,47.97,87.27,95.94,96.49,97.97,98.71,99.16,99.22,94.28,0.1,1024,64,256,10000
cora_run3hquvlcx_GAE,41.33,89.11,95.94,96.49,97.97,98.71,62.05,41.33,89.11,95.94,96.49,97.97,98.71,99.16,99.22,94.28,0.1,1024,128,32,10000
cora_runi8gfjcd3_GAE,41.33,93.17,95.94,96.49,97.97,98.71,62.05,41.33,93.17,95.94,96.49,97.97,98.71,99.43,99.48,94.28,0.1,1024,128,64,10000
cora_runhwn8hp2p_GAE,41.33,93.17,95.94,96.49,98.71,98.71,62.05,41.33,93.17,95.94,96.49,98.71,98.71,99.43,99.48,94.28,0.1,1024,128,128,10000
cora_rundhk8n5vj_GAE,41.33,94.28,96.86,97.79,98.71,98.52,62.05,41.33,94.28,96.86,97.79,98.71,98.52,99.43,99.48,94.65,0.1,1024,128,256,10000
cora_runf9bjz1ti_GAE,44.1,94.28,96.86,97.79,98.71,98.52,64.0,44.1,94.28,96.86,97.79,98.71,98.52,99.43,99.48,94.65,0.1,1024,256,32,10000
cora_run821vvr7j_GAE,44.1,94.28,96.86,97.05,98.71,98.52,64.0,44.1,94.28,96.86,97.05,98.71,98.52,99.43,99.48,94.65,0.1,1024,256,64,10000
